#,What is your age?,What is your gender?,Have you ever used a mental health app/website before?,How often do you seek mental health support?,What are your primary mental health concerns? (Select all that apply),What features would be most helpful to you? (Select all that apply),How important is privacy and data security in a mental health app/website?,Would you prefer a free app with limited features or a paid app with advanced features?,What type of content do you find most helpful?,How easy do you think it should be to book a therapy session through the app?,What colors/design style do you find most calming for a mental health platform?,What is the biggest challenge you face when using mental health apps/websites?,Would you recommend a mental health app/website to a friend?,Any additional feedback or suggestion,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
82p0p8w4nxzp67u5mdfeh89j82p0p8w4,18-24,Female,Yes (please specify: _________),Monthly,Stress,Other (please specify: _________),Very Important,Free with limited features,Interactive Self-Help Tools,Difficult,Nature-inspired Themes,Cost,Maybe,,completed,2025-03-18 23:02:53,,2025-03-18 23:04:37,540034bb00,
1spugeeawwkrfrpdstixog6sgt1spuge,18-24,Female,No,Rarely,Anxiety,Mood Tracking,Very Important,Paid with full access,Interactive Self-Help Tools,Very Easy (Few Clicks),Dark Mode,Privacy Concerns,Yes,,completed,2025-03-18 23:00:14,,2025-03-18 23:03:07,e1a80c31a1,
gefjqc2b4tqul5whctlgefjq6fri38mb,18-24,Female,No,Rarely,Anxiety,Therapy Sessions,Very Important,Paid with full access,Interactive Self-Help Tools,Very Easy (Few Clicks),Light & Minimalist,Cost,Yes,,completed,2025-03-18 22:50:02,,2025-03-18 22:53:50,c769964ea2,
cte3o1emiohg992xucte38mf3r9joq2d,18-24,Female,No,Rarely,Stress,Therapy Sessions,Very Important,Paid with full access,Community Support Groups,Somewhat Easy,Light & Minimalist,Lack of personal connection,Yes,No,completed,2025-03-18 22:26:33,,2025-03-18 22:28:16,644271c42f,
9edccm0wz6w8uvdsa89edcxuyfm0ptsl,18-24,Female,No,Monthly,Depression,Guided Meditations,Very Important,Paid with full access,Video Sessions with Experts,Somewhat Easy,Nature-inspired Themes,Privacy Concerns,Maybe,Thank you,completed,2025-03-18 22:13:01,,2025-03-18 22:15:31,3853cc3ee0,
ixxy941dg85e7ixxyevhef1upocw84fi,18-24,Female,No,Monthly,,Community Forum,Very Important,Free with limited features,Video Sessions with Experts,Very Easy (Few Clicks),Nature-inspired Themes,Cost,Yes,No,completed,2025-03-18 22:00:47,,2025-03-18 22:02:49,ba4df8eb17,
93fpsuu2gel93fpsz13jzxwo2p47rpsz,18-24,Female,No,Rarely,Stress,Guided Meditations,Very Important,Free with limited features,Community Support Groups,Very Easy (Few Clicks),Nature-inspired Themes,Cost,Yes,No,completed,2025-03-18 21:51:55,,2025-03-18 21:54:20,9337097976,
i6ikox58bp64i6ikdaum7uw2x4xw4rsq,18-24,Female,No,Rarely,Anxiety,Journaling,Very Important,Free with limited features,Interactive Self-Help Tools,Neutral,Nature-inspired Themes,Privacy Concerns,Yes,,completed,2025-03-18 21:45:39,,2025-03-18 21:48:00,aaace3a949,
8ykwy7qithmb8rba1b5e8ykwy7q4m2mr,18-24,Female,No,Weekly,Anxiety,Guided Meditations,Very Important,Paid with full access,Video Sessions with Experts,Very Easy (Few Clicks),Light & Minimalist,Privacy Concerns,Yes,,completed,2025-03-18 21:18:26,,2025-03-18 21:20:06,bed827391d,
u02dz0wp73jkr7unpfyyv1u02dz0w2gz,18-24,Female,Yes (please specify: _________),Weekly,Stress,Therapy Sessions,,Free with limited features,Community Support Groups,Neutral,Nature-inspired Themes,Other (please specify: _________),Maybe,No thanks,completed,2025-03-18 21:15:53,,2025-03-18 21:18:02,5338085ea2,
